,BUYER_COUNTY,BUYER_STATE,YEAR,MME,MME_Conversion_Factor,CALC_BASE_WT_IN_GM,STATE_ID,COUNTY_NAME,Population,MME_PER_CAP
0,ABBEVILLE,SC,2006,3136215.3893625,1023.0,2506.084389575,SC,ABBEVILLE,25821.0,121.45987333420472
1,ABBEVILLE,SC,2007,3232603.0168625,1088.0,2623.718374575,SC,ABBEVILLE,25745.0,125.56236227859779
2,ABBEVILLE,SC,2008,3070697.5442625,1000.5,2574.677256175,SC,ABBEVILLE,25699.0,119.48704401970893
3,ABBEVILLE,SC,2009,3827607.0649875,1075.0,3110.779538325,SC,ABBEVILLE,25614.0,149.43417915934646
4,ABBEVILLE,SC,2010,4612935.0124875,1374.5,3695.5828483249998,SC,ABBEVILLE,25338.0,182.05600333441865
5,ABBEVILLE,SC,2011,4833266.0175,1568.5,3890.932455,SC,ABBEVILLE,25093.0,192.61411618778146
6,ABBEVILLE,SC,2012,4835180.1675,1759.0,3961.65298,SC,ABBEVILLE,25033.0,193.15224573562898
7,ABBEVILLE,SC,2013,4846713.1575,1846.5,3988.78507,SC,ABBEVILLE,24912.0,194.55335410645472
8,ABBEVILLE,SC,2014,5095215.93,1839.5,4202.03298,SC,ABBEVILLE,24811.0,205.3611676272621
9,ABBEVILLE,SC,2015,5343645.225000001,1962.5,4372.95985,SC,ABBEVILLE,24814.0,215.34799810590798
10,ABBEVILLE,SC,2016,4532030.01,1556.5,3768.74991,,,,
11,ABBEVILLE,SC,2017,4361486.535,1402.0,3593.85841,,,,
12,ABBEVILLE,SC,2018,3951857.49,1280.5,3239.58824,,,,
13,ABBEVILLE,SC,2019,3360917.205,1219.0,2768.10658,,,,
14,ACADIA,LA,2006,22401870.9498,6574.5,17783.1614082,,,,
15,ACADIA,LA,2007,25694560.865325,6451.5,20392.22682355,,,,
16,ACADIA,LA,2008,24705688.42555,6493.0,19756.0090887,,,,
17,ACADIA,LA,2009,28623476.6399625,6895.0,22837.059009975,,,,
18,ACADIA,LA,2010,33043130.173575,7138.5,25877.28478055,,,,
19,ACADIA,LA,2011,32570444.4947625,7470.0,25591.751433175,,,,
20,ACADIA,LA,2012,27036162.537075,8281.5,21743.17288155,,,,
21,ACADIA,LA,2013,24211076.3325,8105.5,19822.820895,,,,
22,ACADIA,LA,2014,21922188.682725,6880.5,18181.96060515,,,,
23,ACADIA,LA,2015,18809389.2843,5607.0,15303.2438562,,,,
24,ACADIA,LA,2016,19403969.8515,5485.0,15755.579951,,,,
25,ACADIA,LA,2017,17621896.1715,5123.5,14225.691721,,,,
26,ACADIA,LA,2018,15623026.6875,4568.5,12604.578425,,,,
27,ACADIA,LA,2019,13754181.96,4202.5,11021.20171,,,,
28,ACCOMACK,VA,2006,4073851.376,1667.0,3179.233584,VA,ACCOMACK,35192.0,115.76072334621506
29,ACCOMACK,VA,2007,4894526.0843625,2169.5,3851.869789575,VA,ACCOMACK,34553.0,141.6527098764941
30,ACCOMACK,VA,2008,5453317.9232250005,2235.0,4314.75363215,VA,ACCOMACK,33970.0,160.53335069841037
31,ACCOMACK,VA,2009,5832013.0538625,2237.5,4525.595802575,VA,ACCOMACK,33415.0,174.5327862894658
32,ACCOMACK,VA,2010,7349634.9788625,2893.5,5566.503852575,VA,ACCOMACK,33150.0,221.7084458178733
33,ACCOMACK,VA,2011,8496574.238625,3231.5,6395.2519757499995,VA,ACCOMACK,33227.0,255.71295147395188
34,ACCOMACK,VA,2012,7979696.775,3112.0,5979.38115,VA,ACCOMACK,33276.0,239.80336503786515
35,ACCOMACK,VA,2013,8126775.225,3199.5,6035.9131,VA,ACCOMACK,32982.0,246.400316081499
36,ACCOMACK,VA,2014,8861719.002037501,3191.5,6480.218368025,VA,ACCOMACK,32992.0,268.60205510540436
37,ACCOMACK,VA,2015,9277388.7039,3380.5,6712.7337026,VA,ACCOMACK,32930.0,281.73060139386575
38,ACCOMACK,VA,2016,10140386.2875,3663.0,7274.343024999999,,,,
39,ACCOMACK,VA,2017,8081157.9225,2861.5,5834.909935,,,,
40,ACCOMACK,VA,2018,6176898.465,2403.5,4503.89499,,,,
41,ACCOMACK,VA,2019,5415260.3175,2520.5,3971.335005,,,,
42,ADA,ID,2006,86952634.07245,30137.0,72598.24803629999,ID,ADA,363498.0,239.21076339470918
43,ADA,ID,2007,97841035.0984,29347.0,78769.6348306,ID,ADA,375368.0,260.6536388248332
44,ADA,ID,2008,114737058.41806251,31814.0,90969.860241375,ID,ADA,382618.0,299.87365575603474
45,ADA,ID,2009,127040565.35895,35293.5,100429.0672573,ID,ADA,388577.0,326.93794372531056
46,ADA,ID,2010,148342347.105075,42001.0,119403.34068705,ID,ADA,393369.0,377.10736510776144
47,ADA,ID,2011,166145524.039575,44544.0,133394.04827405,ID,ADA,401352.0,413.9646097180904
48,ADA,ID,2012,180746250.604275,47151.5,143693.32068285,ID,ADA,409032.0,441.8877999869814
49,ADA,ID,2013,179184356.4111,45444.5,141488.56485239998,ID,ADA,416180.0,430.54533233480703
50,ADA,ID,2014,186428768.49975,47721.0,146090.9208865,ID,ADA,425774.0,437.8585082690582
51,ADA,ID,2015,181162775.6694,49809.5,141631.5164796,ID,ADA,433254.0,418.14449646027504
52,ADA,ID,2016,174186675.36270002,46392.0,135900.1843018,,,,
53,ADA,ID,2017,164685682.27560002,44244.0,128241.4627204,,,,
54,ADA,ID,2018,140326640.115,41231.0,109265.38049,,,,
55,ADA,ID,2019,120131896.05,39414.5,93778.87512499999,,,,
56,ADAIR,IA,2006,1129828.425,389.5,889.83755,IA,ADAIR,7924.0,142.58309250378596
57,ADAIR,IA,2007,1077195.0,467.5,882.34475,IA,ADAIR,7871.0,136.8561809172913
58,ADAIR,IA,2008,1229739.107025,633.0,1010.47662135,IA,ADAIR,7747.0,158.73746056860722
59,ADAIR,IA,2009,1373040.0799875,798.0,1154.039003325,IA,ADAIR,7676.0,178.8744241776316
60,ADAIR,IA,2010,1376153.475,857.5,1165.7001,IA,ADAIR,7679.0,179.20998502409168
61,ADAIR,IA,2011,1487432.5125,939.5,1253.558075,IA,ADAIR,7546.0,197.115360787172
62,ADAIR,IA,2012,1553273.7750000001,911.5,1309.56025,IA,ADAIR,7466.0,208.04631328690064
63,ADAIR,IA,2013,1299617.9625,738.0,1112.809775,IA,ADAIR,7385.0,175.98076675693974
64,ADAIR,IA,2014,1228381.425,739.5,1040.69915,IA,ADAIR,7365.0,166.78634419551935
65,ADAIR,IA,2015,1191788.4675,749.0,1014.528005,IA,ADAIR,7142.0,166.8704098991879
66,ADAIR,IA,2016,1146215.5725,740.0,966.579385,,,,
67,ADAIR,IA,2017,1082880.81,670.0,913.71126,,,,
68,ADAIR,IA,2018,1010944.9125,630.5,838.480725,,,,
69,ADAIR,IA,2019,782421.4275,282.0,639.586565,,,,
70,ADAIR,KY,2006,3729895.05745,1759.5,3437.8156533,KY,ADAIR,18335.0,203.43032764930462
71,ADAIR,KY,2007,3866928.7105,1961.5,3540.354987,KY,ADAIR,18493.0,209.1022933272049
72,ADAIR,KY,2008,4968241.0175,2338.0,4459.242195,KY,ADAIR,18541.0,267.9597118548083
73,ADAIR,KY,2009,5625284.4375,2561.0,4959.879725,KY,ADAIR,18729.0,300.35156375140156
74,ADAIR,KY,2010,6320199.4425,2982.5,5497.055555,KY,ADAIR,18750.0,337.0773036
75,ADAIR,KY,2011,7496157.975225,3441.5,6612.15648515,KY,ADAIR,18984.0,394.8671499802465
76,ADAIR,KY,2012,7492712.2774875,3319.0,6611.892488325,KY,ADAIR,18939.0,395.6234372188341
77,ADAIR,KY,2013,6658188.585,3196.0,6058.11631,KY,ADAIR,19128.0,348.0859778858218
78,ADAIR,KY,2014,6780778.3575,2471.0,6069.2935449999995,KY,ADAIR,19268.0,351.91915909798627
79,ADAIR,KY,2015,7262539.62,2208.0,6419.8296199999995,KY,ADAIR,19172.0,378.809702691425
80,ADAIR,KY,2016,6536879.37,2325.5,5697.351945,,,,
81,ADAIR,KY,2017,7143117.615,2722.5,6065.12119,,,,
82,ADAIR,KY,2018,6994826.025,2525.5,5974.5642,,,,
83,ADAIR,KY,2019,5973967.2375,2377.0,5158.129825,,,,
84,ADAIR,MO,2006,6124949.1805,3007.5,4825.277427,MO,ADAIR,25007.0,244.92938699164233
85,ADAIR,MO,2007,6775120.543725,3752.5,5338.73392415,MO,ADAIR,24983.0,271.18923042568946
86,ADAIR,MO,2008,7206206.7098625,3943.0,5735.530571575,MO,ADAIR,25399.0,283.7200956676444
87,ADAIR,MO,2009,8774873.133862501,4221.5,6957.181932575,MO,ADAIR,25577.0,343.0767147774368
88,ADAIR,MO,2010,10305384.862725,4852.5,8105.38861015,MO,ADAIR,25638.0,401.9574406242687
89,ADAIR,MO,2011,12439489.0238625,5168.5,9705.754122575,MO,ADAIR,25676.0,484.4792422442164
90,ADAIR,MO,2012,13558417.5234,5193.0,10549.3070256,MO,ADAIR,25696.0,527.6470082269614
91,ADAIR,MO,2013,13063628.4565875,4981.5,10251.957627725,MO,ADAIR,25728.0,507.7591906322878
92,ADAIR,MO,2014,13547645.5518,3826.0,10507.1941312,MO,ADAIR,25552.0,530.1990275438321
93,ADAIR,MO,2015,13413756.4296,3556.5,10247.6457864,MO,ADAIR,25396.0,528.1838253898252
94,ADAIR,MO,2016,12644143.9515,3308.5,9657.281401,,,,
95,ADAIR,MO,2017,10592770.575,2954.0,8191.2712,,,,
96,ADAIR,MO,2018,8647927.4064,2797.5,6711.2930676,,,,
97,ADAIR,MO,2019,6469361.2842,2306.0,5111.6117428,,,,
98,ADAIR,OK,2006,4138670.690175,1986.0,3411.93679345,OK,ADAIR,22215.0,186.3007287947333
99,ADAIR,OK,2007,5366468.9052,2461.5,4393.0692868,OK,ADAIR,22345.0,240.16419356455583
100,ADAIR,OK,2008,7225860.7677,2950.5,5818.2189618,OK,ADAIR,22346.0,323.3626048375548
101,ADAIR,OK,2009,8136997.0852125,3212.0,6589.5098184749995,OK,ADAIR,22477.0,362.01437403623703
102,ADAIR,OK,2010,10250300.625675,3374.5,8170.35280545,OK,ADAIR,22760.0,450.36470235830404
103,ADAIR,OK,2011,12400758.9675,3775.5,9863.551905,OK,ADAIR,22668.0,547.0601273822127
104,ADAIR,OK,2012,13950468.5325,3668.5,10852.366245,OK,ADAIR,22466.0,620.9591619558444
105,ADAIR,OK,2013,13419591.2288625,3049.0,10523.007102575,OK,ADAIR,22463.0,597.4086822268843
106,ADAIR,OK,2014,12005418.75,2443.5,9421.2575,OK,ADAIR,22392.0,536.1476755091104
107,ADAIR,OK,2015,11706734.4525,2926.0,9073.377765,OK,ADAIR,22266.0,525.767288803557
108,ADAIR,OK,2016,9699238.8075,2777.5,7536.768744999999,,,,
109,ADAIR,OK,2017,10238083.8675,2791.5,7906.623554999999,,,,
110,ADAIR,OK,2018,10487460.0525,2417.5,8010.094365,,,,
111,ADAIR,OK,2019,9292291.2975,2641.5,7121.304485,,,,
112,ADAMS,CO,2006,68317235.67325,27371.5,51050.0120805,CO,ADAMS,406575.0,168.0310783330259
113,ADAMS,CO,2007,78828583.71155,31735.0,58348.7808177,CO,ADAMS,415746.0,189.60755776736275
114,ADAMS,CO,2008,94426792.80365,35401.0,69454.8871981,CO,ADAMS,424913.0,222.22617995601453
115,ADAMS,CO,2009,110355732.5950875,38249.5,80674.68283972499,CO,ADAMS,435700.0,253.28375624302845
116,ADAMS,CO,2010,132310314.8824875,41766.5,95642.873618325,CO,ADAMS,443692.0,298.2030662768035
117,ADAMS,CO,2011,157915064.4477,43351.0,112980.46499179999,CO,ADAMS,452209.0,349.2081414737433
118,ADAMS,CO,2012,161239588.1745,43996.0,114884.426734,CO,ADAMS,460568.0,350.088560591487
119,ADAMS,CO,2013,134259160.6606125,43385.0,96553.492832075,CO,ADAMS,469995.0,285.6608275845754
120,ADAMS,CO,2014,143399189.8215375,43047.0,102529.266836025,CO,ADAMS,479954.0,298.7769449187578
121,ADAMS,CO,2015,133377990.2712,39566.0,94769.2558708,CO,ADAMS,490448.0,271.95133892114967
122,ADAMS,CO,2016,122748846.6096,36533.0,87137.0388464,,,,
123,ADAMS,CO,2017,111302795.3127,33465.0,79007.1655018,,,,
124,ADAMS,CO,2018,93363555.5229,32501.5,66252.17670859999,,,,
125,ADAMS,CO,2019,79432852.9698,32115.0,56379.9225732,,,,
