Notes	State	State Code	County	County Code	Yearly July 1st Estimates	Yearly July 1st Estimates Code	Population
	Alabama	01	Autauga County, AL	01001	2003	2003	46800
	Alabama	01	Autauga County, AL	01001	2004	2004	48366
	Alabama	01	Autauga County, AL	01001	2005	2005	49676
	Alabama	01	Autauga County, AL	01001	2006	2006	51328
	Alabama	01	Autauga County, AL	01001	2007	2007	52405
	Alabama	01	Autauga County, AL	01001	2008	2008	53277
	Alabama	01	Autauga County, AL	01001	2009	2009	54135
	Alabama	01	Autauga County, AL	01001	2010	2010	54761
	Alabama	01	Autauga County, AL	01001	2011	2011	55229
	Alabama	01	Autauga County, AL	01001	2012	2012	54970
	Alabama	01	Autauga County, AL	01001	2013	2013	54747
	Alabama	01	Autauga County, AL	01001	2014	2014	54922
	Alabama	01	Autauga County, AL	01001	2015	2015	54903
	Alabama	01	Baldwin County, AL	01003	2003	2003	151509
	Alabama	01	Baldwin County, AL	01003	2004	2004	156266
	Alabama	01	Baldwin County, AL	01003	2005	2005	162183
	Alabama	01	Baldwin County, AL	01003	2006	2006	168121
	Alabama	01	Baldwin County, AL	01003	2007	2007	172404
	Alabama	01	Baldwin County, AL	01003	2008	2008	175827
	Alabama	01	Baldwin County, AL	01003	2009	2009	179406
	Alabama	01	Baldwin County, AL	01003	2010	2010	183121
	Alabama	01	Baldwin County, AL	01003	2011	2011	186579
	Alabama	01	Baldwin County, AL	01003	2012	2012	190203
	Alabama	01	Baldwin County, AL	01003	2013	2013	194978
	Alabama	01	Baldwin County, AL	01003	2014	2014	199306
	Alabama	01	Baldwin County, AL	01003	2015	2015	203101
	Alabama	01	Barbour County, AL	01005	2003	2003	28594
	Alabama	01	Barbour County, AL	01005	2004	2004	28287
	Alabama	01	Barbour County, AL	01005	2005	2005	28027
	Alabama	01	Barbour County, AL	01005	2006	2006	27861
	Alabama	01	Barbour County, AL	01005	2007	2007	27757
	Alabama	01	Barbour County, AL	01005	2008	2008	27808
	Alabama	01	Barbour County, AL	01005	2009	2009	27657
	Alabama	01	Barbour County, AL	01005	2010	2010	27325
	Alabama	01	Barbour County, AL	01005	2011	2011	27344
	Alabama	01	Barbour County, AL	01005	2012	2012	27172
	Alabama	01	Barbour County, AL	01005	2013	2013	26946
	Alabama	01	Barbour County, AL	01005	2014	2014	26768
	Alabama	01	Barbour County, AL	01005	2015	2015	26300
	Alabama	01	Bibb County, AL	01007	2003	2003	21399
	Alabama	01	Bibb County, AL	01007	2004	2004	21721
	Alabama	01	Bibb County, AL	01007	2005	2005	22042
	Alabama	01	Bibb County, AL	01007	2006	2006	22099
	Alabama	01	Bibb County, AL	01007	2007	2007	22438
	Alabama	01	Bibb County, AL	01007	2008	2008	22705
	Alabama	01	Bibb County, AL	01007	2009	2009	22941
	Alabama	01	Bibb County, AL	01007	2010	2010	22858
	Alabama	01	Bibb County, AL	01007	2011	2011	22736
	Alabama	01	Bibb County, AL	01007	2012	2012	22657
	Alabama	01	Bibb County, AL	01007	2013	2013	22510
	Alabama	01	Bibb County, AL	01007	2014	2014	22541
	Alabama	01	Bibb County, AL	01007	2015	2015	22553
	Alabama	01	Blount County, AL	01009	2003	2003	53457
	Alabama	01	Blount County, AL	01009	2004	2004	54124
	Alabama	01	Blount County, AL	01009	2005	2005	54624
	Alabama	01	Blount County, AL	01009	2006	2006	55485
	Alabama	01	Blount County, AL	01009	2007	2007	56240
	Alabama	01	Blount County, AL	01009	2008	2008	57055
	Alabama	01	Blount County, AL	01009	2009	2009	57341
	Alabama	01	Blount County, AL	01009	2010	2010	57372
	Alabama	01	Blount County, AL	01009	2011	2011	57561
	Alabama	01	Blount County, AL	01009	2012	2012	57585
	Alabama	01	Blount County, AL	01009	2013	2013	57630
	Alabama	01	Blount County, AL	01009	2014	2014	57536
	Alabama	01	Blount County, AL	01009	2015	2015	57535
	Alabama	01	Bullock County, AL	01011	2003	2003	11316
	Alabama	01	Bullock County, AL	01011	2004	2004	11056
	Alabama	01	Bullock County, AL	01011	2005	2005	11011
	Alabama	01	Bullock County, AL	01011	2006	2006	10776
	Alabama	01	Bullock County, AL	01011	2007	2007	11011
	Alabama	01	Bullock County, AL	01011	2008	2008	10953
	Alabama	01	Bullock County, AL	01011	2009	2009	10987
	Alabama	01	Bullock County, AL	01011	2010	2010	10876
	Alabama	01	Bullock County, AL	01011	2011	2011	10680
	Alabama	01	Bullock County, AL	01011	2012	2012	10610
	Alabama	01	Bullock County, AL	01011	2013	2013	10557
	Alabama	01	Bullock County, AL	01011	2014	2014	10668
	Alabama	01	Bullock County, AL	01011	2015	2015	10404
	Alabama	01	Butler County, AL	01013	2003	2003	20833
	Alabama	01	Butler County, AL	01013	2004	2004	20870
	Alabama	01	Butler County, AL	01013	2005	2005	20830
	Alabama	01	Butler County, AL	01013	2006	2006	20815
	Alabama	01	Butler County, AL	01013	2007	2007	20894
	Alabama	01	Butler County, AL	01013	2008	2008	20949
	Alabama	01	Butler County, AL	01013	2009	2009	20867
	Alabama	01	Butler County, AL	01013	2010	2010	20933
	Alabama	01	Butler County, AL	01013	2011	2011	20867
	Alabama	01	Butler County, AL	01013	2012	2012	20672
	Alabama	01	Butler County, AL	01013	2013	2013	20359
	Alabama	01	Butler County, AL	01013	2014	2014	20332
	Alabama	01	Butler County, AL	01013	2015	2015	20168
	Alabama	01	Calhoun County, AL	01015	2003	2003	112705
	Alabama	01	Calhoun County, AL	01015	2004	2004	113462
	Alabama	01	Calhoun County, AL	01015	2005	2005	114477
	Alabama	01	Calhoun County, AL	01015	2006	2006	115388
	Alabama	01	Calhoun County, AL	01015	2007	2007	116211
	Alabama	01	Calhoun County, AL	01015	2008	2008	117274
	Alabama	01	Calhoun County, AL	01015	2009	2009	118363
	Alabama	01	Calhoun County, AL	01015	2010	2010	118420
	Alabama	01	Calhoun County, AL	01015	2011	2011	117767
	Alabama	01	Calhoun County, AL	01015	2012	2012	117227
	Alabama	01	Calhoun County, AL	01015	2013	2013	116528
	Alabama	01	Calhoun County, AL	01015	2014	2014	115991
	Alabama	01	Calhoun County, AL	01015	2015	2015	115550
	Alabama	01	Chambers County, AL	01017	2003	2003	35680
	Alabama	01	Chambers County, AL	01017	2004	2004	35463
	Alabama	01	Chambers County, AL	01017	2005	2005	35279
	Alabama	01	Chambers County, AL	01017	2006	2006	34945
	Alabama	01	Chambers County, AL	01017	2007	2007	34847
	Alabama	01	Chambers County, AL	01017	2008	2008	34563
	Alabama	01	Chambers County, AL	01017	2009	2009	34384
	Alabama	01	Chambers County, AL	01017	2010	2010	34105
	Alabama	01	Chambers County, AL	01017	2011	2011	34016
	Alabama	01	Chambers County, AL	01017	2012	2012	34088
	Alabama	01	Chambers County, AL	01017	2013	2013	34125
	Alabama	01	Chambers County, AL	01017	2014	2014	33964
	Alabama	01	Chambers County, AL	01017	2015	2015	33991
	Alabama	01	Cherokee County, AL	01019	2003	2003	24591
	Alabama	01	Cherokee County, AL	01019	2004	2004	24887
	Alabama	01	Cherokee County, AL	01019	2005	2005	25031
	Alabama	01	Cherokee County, AL	01019	2006	2006	25466
	Alabama	01	Cherokee County, AL	01019	2007	2007	25553
	Alabama	01	Cherokee County, AL	01019	2008	2008	25636
	Alabama	01	Cherokee County, AL	01019	2009	2009	25854
	Alabama	01	Cherokee County, AL	01019	2010	2010	25968
	Alabama	01	Cherokee County, AL	01019	2011	2011	25993
	Alabama	01	Cherokee County, AL	01019	2012	2012	25961
	Alabama	01	Cherokee County, AL	01019	2013	2013	26022
	Alabama	01	Cherokee County, AL	01019	2014	2014	25900
	Alabama	01	Cherokee County, AL	01019	2015	2015	25739
	Alabama	01	Chilton County, AL	01021	2003	2003	41079
	Alabama	01	Chilton County, AL	01021	2004	2004	41534
	Alabama	01	Chilton County, AL	01021	2005	2005	41946
	Alabama	01	Chilton County, AL	01021	2006	2006	42318
	Alabama	01	Chilton County, AL	01021	2007	2007	42881
	Alabama	01	Chilton County, AL	01021	2008	2008	43239
	Alabama	01	Chilton County, AL	01021	2009	2009	43484
	Alabama	01	Chilton County, AL	01021	2010	2010	43645
	Alabama	01	Chilton County, AL	01021	2011	2011	43682
	Alabama	01	Chilton County, AL	01021	2012	2012	43572
	Alabama	01	Chilton County, AL	01021	2013	2013	43617
	Alabama	01	Chilton County, AL	01021	2014	2014	43751
	Alabama	01	Chilton County, AL	01021	2015	2015	43693
	Alabama	01	Choctaw County, AL	01023	2003	2003	15199
	Alabama	01	Choctaw County, AL	01023	2004	2004	14930
	Alabama	01	Choctaw County, AL	01023	2005	2005	14545
	Alabama	01	Choctaw County, AL	01023	2006	2006	14431
	Alabama	01	Choctaw County, AL	01023	2007	2007	14216
	Alabama	01	Choctaw County, AL	01023	2008	2008	14114
	Alabama	01	Choctaw County, AL	01023	2009	2009	13976
	Alabama	01	Choctaw County, AL	01023	2010	2010	13848
	Alabama	01	Choctaw County, AL	01023	2011	2011	13608
	Alabama	01	Choctaw County, AL	01023	2012	2012	13565
	Alabama	01	Choctaw County, AL	01023	2013	2013	13401
	Alabama	01	Choctaw County, AL	01023	2014	2014	13322
	Alabama	01	Choctaw County, AL	01023	2015	2015	13237
	Alabama	01	Clarke County, AL	01025	2003	2003	27090
	Alabama	01	Clarke County, AL	01025	2004	2004	26958
	Alabama	01	Clarke County, AL	01025	2005	2005	26764
	Alabama	01	Clarke County, AL	01025	2006	2006	26755
	Alabama	01	Clarke County, AL	01025	2007	2007	26436
	Alabama	01	Clarke County, AL	01025	2008	2008	26283
	Alabama	01	Clarke County, AL	01025	2009	2009	26038
	Alabama	01	Clarke County, AL	01025	2010	2010	25767
	Alabama	01	Clarke County, AL	01025	2011	2011	25589
	Alabama	01	Clarke County, AL	01025	2012	2012	25161
	Alabama	01	Clarke County, AL	01025	2013	2013	25131
	Alabama	01	Clarke County, AL	01025	2014	2014	24873
	Alabama	01	Clarke County, AL	01025	2015	2015	24711
	Alabama	01	Clay County, AL	01027	2003	2003	14203
	Alabama	01	Clay County, AL	01027	2004	2004	14121
	Alabama	01	Clay County, AL	01027	2005	2005	14077
	Alabama	01	Clay County, AL	01027	2006	2006	14053
	Alabama	01	Clay County, AL	01027	2007	2007	14085
	Alabama	01	Clay County, AL	01027	2008	2008	14161
	Alabama	01	Clay County, AL	01027	2009	2009	14006
	Alabama	01	Clay County, AL	01027	2010	2010	13897
	Alabama	01	Clay County, AL	01027	2011	2011	13687
	Alabama	01	Clay County, AL	01027	2012	2012	13433
	Alabama	01	Clay County, AL	01027	2013	2013	13406
	Alabama	01	Clay County, AL	01027	2014	2014	13443
	Alabama	01	Clay County, AL	01027	2015	2015	13415
	Alabama	01	Cleburne County, AL	01029	2003	2003	14438
	Alabama	01	Cleburne County, AL	01029	2004	2004	14339
	Alabama	01	Cleburne County, AL	01029	2005	2005	14368
	Alabama	01	Cleburne County, AL	01029	2006	2006	14538
	Alabama	01	Cleburne County, AL	01029	2007	2007	14799
	Alabama	01	Cleburne County, AL	01029	2008	2008	14874
	Alabama	01	Cleburne County, AL	01029	2009	2009	14918
	Alabama	01	Cleburne County, AL	01029	2010	2010	15004
	Alabama	01	Cleburne County, AL	01029	2011	2011	14928
	Alabama	01	Cleburne County, AL	01029	2012	2012	14889
	Alabama	01	Cleburne County, AL	01029	2013	2013	14974
	Alabama	01	Cleburne County, AL	01029	2014	2014	15029
	Alabama	01	Cleburne County, AL	01029	2015	2015	14923
	Alabama	01	Coffee County, AL	01031	2003	2003	44315
	Alabama	01	Coffee County, AL	01031	2004	2004	45053
	Alabama	01	Coffee County, AL	01031	2005	2005	45604
	Alabama	01	Coffee County, AL	01031	2006	2006	46228
	Alabama	01	Coffee County, AL	01031	2007	2007	47458
	Alabama	01	Coffee County, AL	01031	2008	2008	48516
	Alabama	01	Coffee County, AL	01031	2009	2009	49440
	Alabama	01	Coffee County, AL	01031	2010	2010	50204
	Alabama	01	Coffee County, AL	01031	2011	2011	50449
	Alabama	01	Coffee County, AL	01031	2012	2012	51159
	Alabama	01	Coffee County, AL	01031	2013	2013	50709
	Alabama	01	Coffee County, AL	01031	2014	2014	50693
	Alabama	01	Coffee County, AL	01031	2015	2015	51004
	Alabama	01	Colbert County, AL	01033	2003	2003	54279
	Alabama	01	Colbert County, AL	01033	2004	2004	54380
