,State,CTYNAME,Year,Deaths_Total,Population,Mortality_Rate
0,Alabama,Baldwin County,2003,10,151509,6.600267970879617e-05
1,Alabama,Baldwin County,2004,18,156266,0.00011518820472783588
2,Alabama,Baldwin County,2005,14,162183,8.632224092537442e-05
3,Alabama,Baldwin County,2006,11,168121,6.54290659703428e-05
4,Alabama,Baldwin County,2007,24,172404,0.00013920790700911812
5,Alabama,Baldwin County,2008,19,175827,0.00010806076427397385
6,Alabama,Baldwin County,2009,29,179406,0.00016164453808679754
7,Alabama,Baldwin County,2010,24,183121,0.00013106088324113565
8,Alabama,Baldwin County,2011,23,186579,0.00012327217961292534
9,Alabama,Baldwin County,2012,24,190203,0.0001261809750634848
10,Alabama,Baldwin County,2013,20,194978,0.00010257567520438203
11,Alabama,Baldwin County,2014,32,199306,0.00016055713325238577
12,Alabama,Baldwin County,2015,40,203101,0.0001969463468914481
13,Alabama,Blount County,2003,5,53457,9.353312007781955e-05
14,Alabama,Blount County,2004,5,54124,9.238045968516739e-05
15,Alabama,Blount County,2005,5,54624,9.153485647334505e-05
16,Alabama,Blount County,2006,5,55485,9.01144453455889e-05
17,Alabama,Blount County,2007,5,56240,8.890469416785207e-05
18,Alabama,Blount County,2008,15,57055,0.0002629042152309175
19,Alabama,Blount County,2009,5,57341,8.719764217575556e-05
20,Alabama,Blount County,2010,5,57372,8.715052638917939e-05
21,Alabama,Blount County,2011,5,57561,8.686436997272459e-05
22,Alabama,Blount County,2012,15,57585,0.00026048450117218026
23,Alabama,Blount County,2013,10,57630,0.00017352073572791948
24,Alabama,Blount County,2014,11,57536,0.00019118464961067854
25,Alabama,Blount County,2015,11,57535,0.00019118797253845485
26,Alabama,Calhoun County,2003,5,112705,4.436360409919702e-05
27,Alabama,Calhoun County,2004,5,113462,4.406761735206501e-05
28,Alabama,Calhoun County,2005,5,114477,4.367689579566201e-05
29,Alabama,Calhoun County,2006,5,115388,4.333206225950706e-05
30,Alabama,Calhoun County,2007,11,116211,9.4655411277762e-05
31,Alabama,Calhoun County,2008,17,117274,0.000144959667104388
32,Alabama,Calhoun County,2009,12,118363,0.00010138303354933553
33,Alabama,Calhoun County,2010,19,118420,0.00016044587062996116
34,Alabama,Calhoun County,2011,12,117767,0.00010189611690881146
35,Alabama,Calhoun County,2012,5,117227,4.265229000145018e-05
36,Alabama,Calhoun County,2013,5,116528,4.290814224907319e-05
37,Alabama,Calhoun County,2014,19,115991,0.00016380581251993688
38,Alabama,Calhoun County,2015,20,115550,0.00017308524448290784
39,Alabama,Chilton County,2003,5,41079,0.00012171669222717204
40,Alabama,Chilton County,2004,5,41534,0.00012038330042856456
41,Alabama,Chilton County,2005,5,41946,0.00011920087731845707
42,Alabama,Chilton County,2006,13,42318,0.00030719788269767
43,Alabama,Chilton County,2007,5,42881,0.00011660175835451599
44,Alabama,Chilton County,2008,5,43239,0.00011563634681653137
45,Alabama,Chilton County,2009,5,43484,0.00011498482200349554
46,Alabama,Chilton County,2010,10,43645,0.0002291213197388017
47,Alabama,Chilton County,2011,5,43682,0.00011446362346046426
48,Alabama,Chilton County,2012,5,43572,0.00011475259340861103
49,Alabama,Chilton County,2013,5,43617,0.00011463420226058647
50,Alabama,Chilton County,2014,5,43751,0.00011428310210052342
51,Alabama,Chilton County,2015,5,43693,0.00011443480649074223
52,Alabama,Cullman County,2003,5,77657,6.438569607376025e-05
53,Alabama,Cullman County,2004,5,78131,6.399508517745838e-05
54,Alabama,Cullman County,2005,5,78692,6.353886036700046e-05
55,Alabama,Cullman County,2006,5,79044,6.325590810181672e-05
56,Alabama,Cullman County,2007,5,79576,6.283301497939077e-05
57,Alabama,Cullman County,2008,10,80273,0.00012457488819403784
58,Alabama,Cullman County,2009,5,80351,6.22269791290712e-05
59,Alabama,Cullman County,2010,5,80456,6.214576911603858e-05
60,Alabama,Cullman County,2011,10,80419,0.00012434872356035265
61,Alabama,Cullman County,2012,12,80292,0.00014945449110745777
62,Alabama,Cullman County,2013,16,80704,0.00019825535289452815
63,Alabama,Cullman County,2014,27,81081,0.000333000333000333
64,Alabama,Cullman County,2015,11,81771,0.00013452201880862408
65,Alabama,DeKalb County,2003,5,66530,7.515406583496167e-05
66,Alabama,DeKalb County,2004,5,67260,7.43383883437407e-05
67,Alabama,DeKalb County,2005,5,67794,7.375283948432015e-05
68,Alabama,DeKalb County,2006,5,68495,7.299802905321556e-05
69,Alabama,DeKalb County,2007,5,69450,7.199424046076313e-05
70,Alabama,DeKalb County,2008,5,70228,7.119667369140514e-05
71,Alabama,DeKalb County,2009,5,70864,7.055768796568074e-05
72,Alabama,DeKalb County,2010,5,71133,7.029086359355011e-05
73,Alabama,DeKalb County,2011,11,71335,0.00015420200462606013
74,Alabama,DeKalb County,2012,15,70913,0.00021152680044561647
75,Alabama,DeKalb County,2013,20,70881,0.0002821630620335492
76,Alabama,DeKalb County,2014,5,70963,7.045925341375082e-05
77,Alabama,DeKalb County,2015,17,71065,0.00023921761767396046
78,Alabama,Escambia County,2003,5,37796,0.00013228913112498677
79,Alabama,Escambia County,2004,5,37713,0.00013258027735794023
80,Alabama,Escambia County,2005,5,37601,0.0001329751868301375
81,Alabama,Escambia County,2006,5,37673,0.00013272104690361798
82,Alabama,Escambia County,2007,5,37839,0.00013213879859404318
83,Alabama,Escambia County,2008,5,37929,0.00013182525244535842
84,Alabama,Escambia County,2009,10,38249,0.0002614447436534289
85,Alabama,Escambia County,2010,5,38352,0.00013037129745515228
86,Alabama,Escambia County,2011,5,38211,0.00013085237235351078
87,Alabama,Escambia County,2012,5,38029,0.00013147860843040838
88,Alabama,Escambia County,2013,12,37775,0.00031767041694242225
89,Alabama,Escambia County,2014,10,37749,0.0002649076796736337
90,Alabama,Escambia County,2015,5,37676,0.0001327104788194076
