YEAR,BUYER_STATE,number_counties_opiod_df,Year,State_Initials,number_counties_mortality_df
2006,AK,21,2006.0,AK,2.0
2006,AL,67,2006.0,AL,10.0
2006,AR,75,2006.0,AR,6.0
2006,AZ,15,2006.0,AZ,13.0
2006,CA,58,2006.0,CA,62.0
2006,CO,60,2006.0,CO,18.0
2006,CT,8,2006.0,CT,10.0
2006,DC,1,,,
2006,DE,3,2006.0,DE,2.0
2006,FL,66,2006.0,FL,59.0
2006,GA,154,2006.0,GA,21.0
2006,GU,1,,,
2006,HI,4,2006.0,HI,3.0
2006,IA,99,2006.0,IA,3.0
2006,ID,41,2006.0,ID,2.0
2006,IL,101,2006.0,IL,14.0
2006,IN,92,2006.0,IN,21.0
2006,KS,100,2006.0,KS,3.0
2006,KY,119,2006.0,KY,18.0
2006,LA,63,2006.0,LA,18.0
2006,MA,14,2006.0,MA,15.0
2006,MD,24,2006.0,MD,17.0
2006,ME,16,2006.0,ME,4.0
2006,MI,82,2006.0,MI,28.0
2006,MN,87,2006.0,MN,7.0
2006,MO,113,2006.0,MO,12.0
2006,MP,1,,,
2006,MS,81,2006.0,MS,6.0
2006,MT,47,2006.0,MT,1.0
2006,NC,98,2006.0,NC,34.0
2006,ND,46,,,
2006,NE,74,2006.0,NE,3.0
2006,NH,10,2006.0,NH,3.0
2006,NJ,21,2006.0,NJ,26.0
2006,NM,30,2006.0,NM,11.0
2006,NV,14,2006.0,NV,4.0
2006,NY,62,2006.0,NY,32.0
2006,OH,88,2006.0,OH,33.0
2006,OK,77,2006.0,OK,10.0
2006,OR,34,2006.0,OR,15.0
2006,PA,67,2006.0,PA,38.0
2006,PR,76,,,
2006,PW,1,,,
2006,RI,5,2006.0,RI,4.0
2006,SC,46,2006.0,SC,15.0
2006,SD,49,,,
2006,TN,94,2006.0,TN,21.0
2006,TX,229,2006.0,TX,45.0
2006,UT,27,2006.0,UT,9.0
2006,VA,126,2006.0,VA,15.0
2006,VI,3,,,
2006,VT,14,2006.0,VT,1.0
2006,WA,39,2006.0,WA,21.0
2006,WI,70,2006.0,WI,12.0
2006,WV,55,2006.0,WV,7.0
2006,WY,23,,,
2007,AK,19,2007.0,AK,2.0
2007,AL,67,2007.0,AL,13.0
2007,AR,75,2007.0,AR,6.0
2007,AZ,15,2007.0,AZ,14.0
2007,CA,57,2007.0,CA,69.0
2007,CO,59,2007.0,CO,16.0
2007,CT,8,2007.0,CT,9.0
2007,DC,1,,,
2007,DE,3,2007.0,DE,2.0
2007,FL,66,2007.0,FL,53.0
2007,GA,152,2007.0,GA,21.0
2007,GU,1,,,
2007,HI,4,2007.0,HI,3.0
2007,IA,99,2007.0,IA,4.0
2007,ID,41,2007.0,ID,1.0
2007,IL,102,2007.0,IL,18.0
2007,IN,91,2007.0,IN,23.0
2007,KS,100,2007.0,KS,4.0
2007,KY,119,2007.0,KY,13.0
2007,LA,63,2007.0,LA,20.0
2007,MA,14,2007.0,MA,21.0
2007,MD,24,2007.0,MD,13.0
2007,ME,16,2007.0,ME,5.0
2007,MI,82,2007.0,MI,36.0
2007,MN,87,2007.0,MN,5.0
2007,MO,112,2007.0,MO,13.0
2007,MP,1,,,
2007,MS,81,2007.0,MS,5.0
2007,MT,47,2007.0,MT,2.0
2007,NC,98,2007.0,NC,29.0
2007,ND,46,,,
2007,NE,76,2007.0,NE,3.0
2007,NH,10,2007.0,NH,8.0
2007,NJ,21,2007.0,NJ,20.0
2007,NM,30,2007.0,NM,9.0
2007,NV,14,2007.0,NV,5.0
2007,NY,62,2007.0,NY,37.0
2007,OH,88,2007.0,OH,34.0
