State,County,County Code,Year,Deaths,Population,Mortality_Rate,Mortality_Rate_Per_100k
Alabama,"Autauga County, AL",1001,2003,2.0,46800.0,4.2735042735042735e-05,4.273504273504273
Alabama,"Autauga County, AL",1001,2004,3.0,48366.0,6.202704379109291e-05,6.202704379109291
Alabama,"Autauga County, AL",1001,2005,3.0,49676.0,6.0391335856349146e-05,6.039133585634914
Alabama,"Autauga County, AL",1001,2006,4.0,51328.0,7.793017456359102e-05,7.793017456359102
Alabama,"Autauga County, AL",1001,2007,6.0,52405.0,0.0001144928918996279,11.44928918996279
Alabama,"Autauga County, AL",1001,2008,6.0,53277.0,0.00011261895376991947,11.261895376991948
Alabama,"Autauga County, AL",1001,2009,6.0,54135.0,0.00011083402604599612,11.083402604599613
Alabama,"Autauga County, AL",1001,2010,6.0,54761.0,0.00010956702762915213,10.956702762915214
Alabama,"Autauga County, AL",1001,2011,6.0,55229.0,0.00010863857755889116,10.863857755889116
Alabama,"Autauga County, AL",1001,2012,6.0,54970.0,0.00010915044569765326,10.915044569765326
Alabama,"Autauga County, AL",1001,2013,7.0,54747.0,0.00012786088735455825,12.786088735455825
Alabama,"Autauga County, AL",1001,2014,8.0,54922.0,0.00014566111940570264,14.566111940570265
Alabama,"Autauga County, AL",1001,2015,8.0,54903.0,0.00014571152760322752,14.571152760322752
Alabama,"Baldwin County, AL",1003,2003,10.0,151509.0,6.600267970879617e-05,6.600267970879617
Alabama,"Baldwin County, AL",1003,2004,18.0,156266.0,0.00011518820472783588,11.518820472783588
Alabama,"Baldwin County, AL",1003,2005,14.0,162183.0,8.632224092537442e-05,8.632224092537442
Alabama,"Baldwin County, AL",1003,2006,11.0,168121.0,6.54290659703428e-05,6.542906597034279
Alabama,"Baldwin County, AL",1003,2007,24.0,172404.0,0.00013920790700911812,13.920790700911812
Alabama,"Baldwin County, AL",1003,2008,19.0,175827.0,0.00010806076427397385,10.806076427397386
Alabama,"Baldwin County, AL",1003,2009,29.0,179406.0,0.00016164453808679754,16.164453808679756
Alabama,"Baldwin County, AL",1003,2010,24.0,183121.0,0.00013106088324113565,13.106088324113564
Alabama,"Baldwin County, AL",1003,2011,23.0,186579.0,0.00012327217961292534,12.327217961292535
Alabama,"Baldwin County, AL",1003,2012,24.0,190203.0,0.0001261809750634848,12.61809750634848
Alabama,"Baldwin County, AL",1003,2013,20.0,194978.0,0.00010257567520438203,10.257567520438203
