GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G0100010,2006-2010,AL,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01001,,,"Autauga County, Alabama",53155,"Autauga County, Alabama",0
G0100030,2006-2010,AL,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,,,"Baldwin County, Alabama",175791,"Baldwin County, Alabama",0
G0100050,2006-2010,AL,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01005,,,"Barbour County, Alabama",27699,"Barbour County, Alabama",0
G0100070,2006-2010,AL,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01007,,,"Bibb County, Alabama",22610,"Bibb County, Alabama",0
G0100090,2006-2010,AL,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01009,,,"Blount County, Alabama",56692,"Blount County, Alabama",0
G0100110,2006-2010,AL,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01011,,,"Bullock County, Alabama",10923,"Bullock County, Alabama",0
G0100130,2006-2010,AL,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01013,,,"Butler County, Alabama",20895,"Butler County, Alabama",0
G0100150,2006-2010,AL,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01015,,,"Calhoun County, Alabama",117149,"Calhoun County, Alabama",0
G0100170,2006-2010,AL,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01017,,,"Chambers County, Alabama",34579,"Chambers County, Alabama",0
G0100190,2006-2010,AL,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01019,,,"Cherokee County, Alabama",25700,"Cherokee County, Alabama",0
G0100210,2006-2010,AL,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01021,,,"Chilton County, Alabama",43121,"Chilton County, Alabama",0
G0100230,2006-2010,AL,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01023,,,"Choctaw County, Alabama",14111,"Choctaw County, Alabama",0
G0100250,2006-2010,AL,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01025,,,"Clarke County, Alabama",26255,"Clarke County, Alabama",0
