STNAME,CTYNAME,Year,Population
Alabama,Alabama,2006,4597688
Alabama,Autauga County,2006,49105
Alabama,Baldwin County,2006,168516
Alabama,Barbour County,2006,29556
Alabama,Bibb County,2006,21285
Alabama,Blount County,2006,55978
Alabama,Bullock County,2006,10739
Alabama,Butler County,2006,20231
Alabama,Calhoun County,2006,112453
Alabama,Chambers County,2006,34822
Alabama,Cherokee County,2006,24531
Alabama,Chilton County,2006,41821
Alabama,Choctaw County,2006,14389
Alabama,Clarke County,2006,26729
Alabama,Clay County,2006,13777
Alabama,Cleburne County,2006,14433
Alabama,Coffee County,2006,45639
Alabama,Colbert County,2006,54462
Alabama,Conecuh County,2006,13309
Alabama,Coosa County,2006,10857
Alabama,Covington County,2006,36717
Alabama,Crenshaw County,2006,13688
Alabama,Cullman County,2006,79871
Alabama,Dale County,2006,48038
Alabama,Dallas County,2006,43050
Alabama,DeKalb County,2006,67447
Alabama,Elmore County,2006,75511
Alabama,Escambia County,2006,37572
Alabama,Etowah County,2006,102854
Alabama,Fayette County,2006,17758
Alabama,Franklin County,2006,30791
Alabama,Geneva County,2006,25769
Alabama,Greene County,2006,9119
Alabama,Hale County,2006,17901
Alabama,Henry County,2006,16555
Alabama,Houston County,2006,95511
Alabama,Jackson County,2006,52998
Alabama,Jefferson County,2006,661447
Alabama,Lamar County,2006,14456
Alabama,Lauderdale County,2006,87992
Alabama,Lawrence County,2006,33875
Alabama,Lee County,2006,128217
Alabama,Limestone County,2006,71795
Alabama,Lowndes County,2006,12711
Alabama,Macon County,2006,22544
Alabama,Madison County,2006,307509
Alabama,Marengo County,2006,21335
Alabama,Marion County,2006,29585
Alabama,Marshall County,2006,86760
Alabama,Mobile County,2006,402199
Alabama,Monroe County,2006,22986
Alabama,Montgomery County,2006,225333
Alabama,Morgan County,2006,114297
Alabama,Perry County,2006,10554
Alabama,Pickens County,2006,19698
Alabama,Pike County,2006,29975
Alabama,Randolph County,2006,22461
Alabama,Russell County,2006,49695
Alabama,St. Clair County,2006,75223
Alabama,Shelby County,2006,178840
Alabama,Sumter County,2006,13471
Alabama,Talladega County,2006,80124
Alabama,Tallapoosa County,2006,40719
Alabama,Tuscaloosa County,2006,176899
Alabama,Walker County,2006,68978
Alabama,Washington County,2006,17369
Alabama,Wilcox County,2006,12538
Alabama,Winston County,2006,24321
Alaska,Alaska,2006,677325
Alaska,Aleutians East Borough,2006,2619
Alaska,Aleutians West Census Area,2006,5019
Alaska,Anchorage Municipality,2006,279935
Alaska,Bethel Census Area,2006,17090
Alaska,Bristol Bay Borough,2006,1038
Alaska,Denali Borough,2006,1828
Alaska,Dillingham Census Area,2006,4945
Alaska,Fairbanks North Star Borough,2006,94803
Alaska,Haines Borough,2006,2245
Alaska,Hoonah-Angoon Census Area,2006,2228
Alaska,Juneau City and Borough,2006,30681
Alaska,Kenai Peninsula Borough,2006,52179
Alaska,Ketchikan Gateway Borough,2006,13302
Alaska,Kodiak Island Borough,2006,13093
Alaska,Lake and Peninsula Borough,2006,1529
Alaska,Matanuska-Susitna Borough,2006,79406
Alaska,Nome Census Area,2006,9293
Alaska,North Slope Borough,2006,6675
Alaska,Northwest Arctic Borough,2006,7438
Alaska,Petersburg Borough,2006,3876
Alaska,Prince of Wales-Hyder Census Area,2006,5646
Alaska,Sitka City and Borough,2006,8940
Alaska,Skagway Municipality,2006,909
Alaska,Southeast Fairbanks Census Area,2006,6758
Alaska,Valdez-Cordova Census Area,2006,9715
Alaska,Kusilvak Census Area,2006,7464
Alaska,Wrangell City and Borough,2006,2168
Alaska,Yakutat City and Borough,2006,658
Alaska,Yukon-Koyukuk Census Area,2006,5845
Arizona,Arizona,2006,6192100
Arizona,Apache County,2006,69066
Arizona,Cochise County,2006,126751
Arizona,Coconino County,2006,126029
Arizona,Gila County,2006,51635
Arizona,Graham County,2006,33286
Arizona,Greenlee County,2006,7465
Arizona,La Paz County,2006,20118
Arizona,Maricopa County,2006,3776118
Arizona,Mohave County,2006,192724
Arizona,Navajo County,2006,109000
Arizona,Pima County,2006,975476
Arizona,Pinal County,2006,270453
Arizona,Santa Cruz County,2006,42040
Arizona,Yavapai County,2006,206672
Arizona,Yuma County,2006,185267
Arkansas,Arkansas,2006,2815097
Arkansas,Arkansas County,2006,19655
Arkansas,Ashley County,2006,22515
Arkansas,Baxter County,2006,41155
Arkansas,Benton County,2006,201509
Arkansas,Boone County,2006,35959
Arkansas,Bradley County,2006,11986
Arkansas,Calhoun County,2006,5526
Arkansas,Carroll County,2006,27083
Arkansas,Chicot County,2006,12501
Arkansas,Clark County,2006,23392
Arkansas,Clay County,2006,16315
Arkansas,Cleburne County,2006,25176
Arkansas,Cleveland County,2006,8692
Arkansas,Columbia County,2006,24622
Arkansas,Conway County,2006,20481
Arkansas,Craighead County,2006,89669
Arkansas,Crawford County,2006,58077
Arkansas,Crittenden County,2006,51817
Arkansas,Cross County,2006,18911
Arkansas,Dallas County,2006,8321
Arkansas,Desha County,2006,14016
Arkansas,Drew County,2006,18814
Arkansas,Faulkner County,2006,102331
Arkansas,Franklin County,2006,18031
Arkansas,Fulton County,2006,11643
Arkansas,Garland County,2006,95492
Arkansas,Grant County,2006,17455
Arkansas,Greene County,2006,39907
Arkansas,Hempstead County,2006,23169
Arkansas,Hot Spring County,2006,31580
Arkansas,Howard County,2006,14220
Arkansas,Independence County,2006,34377
Arkansas,Izard County,2006,13138
Arkansas,Jackson County,2006,17178
Arkansas,Jefferson County,2006,80405
Arkansas,Johnson County,2006,24295
Arkansas,Lafayette County,2006,7754
Arkansas,Lawrence County,2006,16813
Arkansas,Lee County,2006,10941
Arkansas,Lincoln County,2006,13833
Arkansas,Little River County,2006,12952
Arkansas,Logan County,2006,22586
